sentence_id,original_text,token,lang_id,auto_pos,has_english,en_ratio
1,因乜解救要成日post佢上連登呢？,因,ZH,NOUN,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,乜解,ZH,PRON,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,救,ZH,VERB,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,要,ZH,AUX,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,成日,ZH,ADV,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,post,EN,VERB,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,佢,ZH,PRON,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,上,ZH,ADV,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,連登,ZH,VERB,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,呢,ZH,PART,True,0.09090909090909091
1,因乜解救要成日post佢上連登呢？,？,ZH,PUNCT,True,0.09090909090909091
2,搵林律師claim爆你每架連機師補品賠10億美金！,搵林,ZH,PROPN,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,律師,ZH,NOUN,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,claim,EN,NOUN,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,爆,ZH,VERB,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,你,ZH,PRON,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,每架,ZH,PRON,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,連機師補品賠,ZH,VERB,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,10,EN,NOUN,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,億,ZH,VERB,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,美金,ZH,NOUN,True,0.18181818181818182
2,搵林律師claim爆你每架連機師補品賠10億美金！,！,ZH,PUNCT,True,0.18181818181818182
3,美帝好似以前打final fantasy 咁,美帝,ZH,NOUN,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,好似,ZH,VERB,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,以前,ZH,ADV,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,打,ZH,VERB,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,final,EN,NOUN,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,fantasy,EN,NOUN,True,0.2857142857142857
3,美帝好似以前打final fantasy 咁,咁,ZH,ADV,True,0.2857142857142857
4,最仆街開親麥記App幾個banner都見到佢,最仆街,ZH,ADV,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,開親麥記,ZH,VERB,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,App,EN,NOUN,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,幾,ZH,NUM,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,個,ZH,NOUN,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,banner,EN,NOUN,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,都,ZH,ADV,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,見到,ZH,VERB,True,0.2222222222222222
4,最仆街開親麥記App幾個banner都見到佢,佢,ZH,PRON,True,0.2222222222222222
5,如果係 Tesla 一定即時火葬,如果,ZH,CCONJ,True,0.16666666666666666
5,如果係 Tesla 一定即時火葬,係,ZH,VERB,True,0.16666666666666666
5,如果係 Tesla 一定即時火葬,Tesla,EN,PROPN,True,0.16666666666666666
5,如果係 Tesla 一定即時火葬,一定,ZH,ADV,True,0.16666666666666666
5,如果係 Tesla 一定即時火葬,即時,ZH,PRON,True,0.16666666666666666
5,如果係 Tesla 一定即時火葬,火葬,ZH,X,True,0.16666666666666666
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,如果,ZH,CCONJ,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,可以,ZH,AUX,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,俾,ZH,VERB,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,你,ZH,PRON,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,重新,ZH,VERB,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,投胎,ZH,NOUN,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,你,ZH,PRON,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,會,ZH,AUX,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,揀,ZH,VERB,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,做,ZH,VERB,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,Donald,EN,NOUN,True,0.3125
6,如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,Trump,EN,ADP,True,0.3125
